Ticker,Setor,Subsetor
BRDT3,Petróleo Gás e Biocombustíveis,Distribuicao de Combustiveis
BRFS3,Consumo Não Cíclico,Alimentos Processados
BRKM5,Materiais Básicos,Quimicos
BRML3,Financeiro,Shoppings e Imoveis
BRPR3,Financeiro,Shoppings e Imoveis
BRSR6,Financeiro,Bancos
BTOW3,Consumo Cíclico,Varejo Eletro e Ecommerce
BVMF3,Financeiro,Servicos Financeiros
CAML3,Consumo Não Cíclico,Alimentos Processados
CARD3,Tecnologia da Informação,Software e Servicos de TI
CASH3,Tecnologia da Informação,Software e Servicos de TI
CBAV3,Materiais Básicos,Mineracao
CCRO3,Bens Industriais,Transporte e Logistica
CEAB3,Consumo Cíclico,Varejo de Vestuario
CESP6,Utilidade Pública,Energia - Geracao e Distribuicao
CGAS5,Utilidade Pública,Gas
CIEL3,Financeiro,Servicos Financeiros
CLSA3,Tecnologia da Informação,Software e Servicos de TI
CMIG3,Utilidade Pública,Energia - Geracao e Distribuicao
CMIG4,Utilidade Pública,Energia - Geracao e Distribuicao
CMIN3,Materiais Básicos,Mineracao
CNTO3,Consumo Cíclico,"Turismo, Lazer e Restaurantes"
COGN3,Consumo Cíclico,Educacao
CPFE3,Utilidade Pública,Energia - Geracao e Distribuicao
CPLE3,Utilidade Pública,Energia - Geracao e Distribuicao
CPLE5,Utilidade Pública,Energia - Geracao e Distribuicao
CPLE6,Utilidade Pública,Energia - Geracao e Distribuicao
CPRE3,Utilidade Pública,Energia - Geracao e Distribuicao
CRFB3,Consumo Não Cíclico,Varejo Alimentar
CSAN3,Petróleo Gás e Biocombustíveis,Acucar e Etanol
CSMG3,Utilidade Pública,Saneamento e Ambiental
CSNA3,Materiais Básicos,Siderurgia
CTIP3,Financeiro,Servicos Financeiros
CURY3,Consumo Cíclico,Construcao Civil
CVCB3,Consumo Cíclico,"Turismo, Lazer e Restaurantes"
CXSE3,Financeiro,Seguros e Previdencia
CYRE3,Consumo Cíclico,Construcao Civil
DIRR3,Consumo Cíclico,Construcao Civil
DMMO3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
DTEX3,Materiais Básicos,Papel e Celulose
DXCO3,Materiais Básicos,Papel e Celulose
ECOR3,Bens Industriais,Transporte e Logistica
EGIE3,Utilidade Pública,Energia - Geracao e Distribuicao
ELET3,Utilidade Pública,Energia - Geracao e Distribuicao
ELET6,Utilidade Pública,Energia - Geracao e Distribuicao
ELPL3,Utilidade Pública,Energia - Geracao e Distribuicao
ELPL4,Utilidade Pública,Energia - Geracao e Distribuicao
EMBJ3,Bens Industriais,Material de Transporte
EMBR3,Bens Industriais,Material de Transporte
ENAT3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
ENBR3,Utilidade Pública,Energia - Geracao e Distribuicao
ENEV3,Utilidade Pública,Energia - Geracao e Distribuicao
ENGI11,Utilidade Pública,Energia - Geracao e Distribuicao
EQTL3,Utilidade Pública,Energia - Geracao e Distribuicao
ESPA3,Consumo Cíclico,Construcao Civil
ESTC3,Consumo Cíclico,Educacao
ETER3,Materiais Básicos,Materiais de Construcao
EVEN3,Consumo Cíclico,Construcao Civil
EZTC3,Consumo Cíclico,Construcao Civil
FHER3,Materiais Básicos,Quimicos
FIBR3,Materiais Básicos,Papel e Celulose
FIQE3,Comunicações,Telecomunicacoes
FJTA4,Bens Industriais,Maquinas e Equipamentos
FLRY3,Saúde,Hospitais e Diagnostico
GFSA3,Consumo Cíclico,Construcao Civil
GGBR3,Materiais Básicos,Siderurgia
GGBR4,Materiais Básicos,Siderurgia
GGPS3,Bens Industriais,Transporte e Logistica
GMAT3,Consumo Não Cíclico,Varejo Alimentar
GNDI3,Saúde,Planos de Saude
GOAU4,Materiais Básicos,Siderurgia
GOLL4,Bens Industriais,Transporte Aereo
GRND3,Consumo Cíclico,Varejo de Vestuario
GUAR3,Consumo Cíclico,Varejo de Vestuario
HAPV3,Saúde,Planos de Saude
HBOR3,Consumo Cíclico,Construcao Civil
HBSA3,Bens Industriais,Transporte e Logistica
HGTX3,Consumo Cíclico,Varejo de Vestuario
HYPE3,Saúde,Farmacias e Medicamentos
IGTA3,Financeiro,Shoppings e Imoveis
IGTI11,Financeiro,Shoppings e Imoveis
INTB3,Bens Industriais,Maquinas e Equipamentos
IRBR3,Financeiro,Seguros e Previdencia
ISAE4,Utilidade Pública,Energia - Transmissao
ITSA3,Financeiro,Holdings
ITSA4,Financeiro,Holdings
ITUB3,Financeiro,Bancos
ITUB4,Financeiro,Bancos
JBSS3,Consumo Não Cíclico,Alimentos Processados
JHSF3,Consumo Cíclico,Construcao Civil
KEPL3,Bens Industriais,Maquinas e Equipamentos
KLBN11,Materiais Básicos,Papel e Celulose
KROT3,Consumo Cíclico,Educacao
LAME3,Consumo Cíclico,Varejo Eletro e Ecommerce
LAME4,Consumo Cíclico,Varejo Eletro e Ecommerce
LCAM3,Consumo Cíclico,Aluguel de Veiculos
LEVE3,Bens Industriais,Material de Transporte
LIGT3,Utilidade Pública,Energia - Geracao e Distribuicao
LINX3,Tecnologia da Informação,Software e Servicos de TI
LJQQ3,Consumo Cíclico,Varejo de Vestuario
LLIS3,Consumo Cíclico,Varejo de Vestuario
LOGG3,Financeiro,Shoppings e Imoveis
LOGN3,Bens Industriais,Transporte e Logistica
LREN3,Consumo Cíclico,Varejo de Vestuario
LWSA3,Tecnologia da Informação,Software e Servicos de TI
MAGG3,Materiais Básicos,Mineracao
MBRF3,Consumo Não Cíclico,Alimentos Processados
MDIA3,Consumo Não Cíclico,Alimentos Processados
MEAL3,Consumo Cíclico,"Turismo, Lazer e Restaurantes"
MEGA3,Utilidade Pública,Energia - Geracao e Distribuicao
MGLU3,Consumo Cíclico,Varejo Eletro e Ecommerce
MILS3,Bens Industriais,Maquinas e Equipamentos
MOSI3,Consumo Cíclico,Varejo Eletro e Ecommerce
MOTV3,Bens Industriais,Transporte e Logistica
MOVI3,Consumo Cíclico,Aluguel de Veiculos
MPLU3,Consumo Cíclico,"Turismo, Lazer e Restaurantes"
MRFG3,Consumo Não Cíclico,Alimentos Processados
MRVE3,Consumo Cíclico,Construcao Civil
MULT3,Financeiro,Shoppings e Imoveis
MYPK3,Bens Industriais,Material de Transporte
NATU3,Consumo Não Cíclico,Higiene e Varejo Especializado
NEOE3,Utilidade Pública,Energia - Geracao e Distribuicao
NGRD3,Tecnologia da Informação,Software e Servicos de TI
NTCO3,Consumo Cíclico,Higiene e Varejo Especializado
ODPV3,Saúde,Planos de Saude
OIBR3,Comunicações,Telecomunicacoes
OIBR4,Comunicações,Telecomunicacoes
OMGE3,Utilidade Pública,Energia - Geracao e Distribuicao
ONCO3,Saúde,Hospitais e Diagnostico
ORVR3,Utilidade Pública,Saneamento e Ambiental
PARC3,Financeiro,A DEFINIR
PARD3,Saúde,Hospitais e Diagnostico
PCAR3,Consumo Não Cíclico,Varejo Alimentar
PCAR4,Consumo Não Cíclico,Varejo Alimentar
PDGR3,Consumo Cíclico,Construcao Civil
PETR3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
PETR4,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
PETZ3,Consumo Cíclico,Higiene e Varejo Especializado
PGMN3,Saúde,Farmacias e Medicamentos
POMO4,Bens Industriais,Material de Transporte
PORT3,Bens Industriais,Transporte e Logistica
POSI3,Tecnologia da Informação,Hardware e Equipamentos
PRBC4,Financeiro,Bancos
PRIO3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
PSSA3,Financeiro,Seguros e Previdencia
PTBL3,Materiais Básicos,Materiais de Construcao
QGEP3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
QUAL3,Saúde,Planos de Saude
RADL3,Saúde,Farmacias e Medicamentos
RAIL3,Bens Industriais,Transporte e Logistica
RAIZ4,Petróleo Gás e Biocombustíveis,Acucar e Etanol
RAPT4,Bens Industriais,Material de Transporte
RDOR3,Saúde,Hospitais e Diagnostico
RECV3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
RENT3,Consumo Cíclico,Aluguel de Veiculos
ROMI3,Bens Industriais,Maquinas e Equipamentos
RRRP3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
RSID3,Consumo Cíclico,Construcao Civil
RUMO3,Bens Industriais,Transporte e Logistica
SANB11,Financeiro,Bancos
SAPR11,Utilidade Pública,Saneamento e Ambiental
SAPR4,Utilidade Pública,Saneamento e Ambiental
SBFG3,Consumo Cíclico,"Turismo, Lazer e Restaurantes"
SBSP3,Utilidade Pública,Saneamento e Ambiental
SEDU3,Consumo Cíclico,Educacao
SEER3,Consumo Cíclico,Educacao
SEQL3,Bens Industriais,Transporte e Logistica
SIMH3,Bens Industriais,Transporte e Logistica
SLCE3,Consumo Não Cíclico,Agricultura
SMFT3,Consumo Cíclico,"Turismo, Lazer e Restaurantes"
SMLE3,Consumo Cíclico,A DEFINIR
SMLS3,Consumo Cíclico,A DEFINIR
SMTO3,Consumo Não Cíclico,Acucar e Etanol
SOMA3,Consumo Cíclico,Varejo de Vestuario
SQIA3,Tecnologia da Informação,Software e Servicos de TI
SRNA3,Utilidade Pública,Energia - Geracao e Distribuicao
STBP3,Bens Industriais,Transporte e Logistica
SULA11,Financeiro,Seguros e Previdencia
SUZB3,Materiais Básicos,Papel e Celulose
SUZB5,Materiais Básicos,Papel e Celulose
SYNE3,Financeiro,Shoppings e Imoveis
TAEE11,Utilidade Pública,Energia - Transmissao
TASA4,Bens Industriais,Maquinas e Equipamentos
TBLE3,Utilidade Pública,Energia - Geracao e Distribuicao
TCSA3,Consumo Cíclico,Construcao Civil
TEND3,Consumo Cíclico,Construcao Civil
TGMA3,Bens Industriais,Transporte e Logistica
TIET11,Utilidade Pública,Energia - Geracao e Distribuicao
TIMP3,Comunicações,Telecomunicacoes
TIMS3,Comunicações,Telecomunicacoes
TOTS3,Tecnologia da Informação,Software e Servicos de TI
TPIS3,Bens Industriais,Transporte e Logistica
TRPL4,Utilidade Pública,Energia - Transmissao
TTEN3,Consumo Não Cíclico,Agricultura
TUPY3,Bens Industriais,Material de Transporte
UGPA3,Petróleo Gás e Biocombustíveis,Distribuicao de Combustiveis
UNIP6,Materiais Básicos,Quimicos
USIM5,Materiais Básicos,Siderurgia
VALE3,Materiais Básicos,Mineracao
VALE5,Materiais Básicos,Mineracao
VAMO3,Bens Industriais,Aluguel de Veiculos
VBBR3,Petróleo Gás e Biocombustíveis,Distribuicao de Combustiveis
VIIA3,Consumo Cíclico,Varejo Eletro e Ecommerce
VIVA3,Consumo Cíclico,Varejo de Vestuario
VIVR3,Consumo Cíclico,Construcao Civil
VIVT3,Comunicações,Telecomunicacoes
VIVT4,Comunicações,Telecomunicacoes
VLID3,Tecnologia da Informação,Hardware e Equipamentos
VULC3,Consumo Cíclico,Varejo de Vestuario
VVAR11,Consumo Cíclico,Varejo Eletro e Ecommerce
VVAR3,Consumo Cíclico,Varejo Eletro e Ecommerce
WEGE3,Bens Industriais,Maquinas e Equipamentos
WIZS3,Financeiro,Seguros e Previdencia
YDUQ3,Consumo Cíclico,Educacao
